chain,draw,beta,estimate
0,469,0,13.517663834109047
0,469,1,0.7492681766374463
0,470,0,13.494565154202094
0,470,1,1.0583260471653724
0,471,0,13.532757871845924
0,471,1,0.6986014115405798
0,472,0,13.504502336823446
0,472,1,0.9435732686438503
0,473,0,13.55623152724732
0,473,1,0.508809172179536
0,474,0,13.554198968157642
0,474,1,0.4653794465731284
0,475,0,13.541904681061823
0,475,1,0.7926002354348095
0,476,0,13.575347733138576
0,476,1,0.29817102979815213
0,477,0,13.528143680786576
0,477,1,0.7730828000696328
0,478,0,13.493926380012214
0,478,1,1.0015371787901561
0,479,0,13.546356456215365
0,479,1,0.5301726167613604
0,480,0,13.539669082961293
0,480,1,0.7119238394268875
0,481,0,13.49896890526193
0,481,1,1.0325460136110847
